env,seed,n,L0,real,scram,term_births,semel,health,real_minus_scram
baseline,2000,0,0.1297477061520443,0.7452522938479558,0.0,0,0,353,0.7452522938479558
baseline,2001,0,0.875,0.0,0.0,0,0,188,0.0
baseline,2002,0,0.3607340163861903,0.0,0.5281548725026985,0,0,300,-0.5281548725026985
baseline,2003,0,0.5915129556433905,0.0,0.29737593324549844,0,0,274,-0.29737593324549844
baseline,2004,0,0.849865155420711,0.03902373346817791,0.0,0,0,238,0.03902373346817791
baseline,2005,0,0.8723958333333333,0.0026041666666666665,0.0,0,0,553,0.0026041666666666665
baseline,2006,0,0.22471509971509973,0.6502849002849003,0.0,0,0,197,0.6502849002849003
baseline,2007,0,0.7872127872127872,0.051615051615051616,0.050061050061050064,0,0,228,0.0015540015540015523
baseline,2008,0,0.8019914867740954,0.008903133903133902,0.07799426821165951,0,0,254,-0.06909113430852562
baseline,2009,0,0.8721114276669832,0.0,0.016777461221905668,0,0,289,-0.016777461221905668
baseline,2010,45,1.0,0.0,0.0,0,0,1500,0.0
baseline,2011,0,0.8460277457757297,0.01656946044546851,0.012402793778801843,0,0,289,0.0041666666666666675
