env,seed,n,L0,real,scram,term_births,semel,health,real_minus_scram
baseline,2000,0,0.7659950779938085,0.01865136431087617,0.10424244658420413,0,0,1093,-0.08559108227332796
baseline,2001,0,0.8828250907955965,0.003079247531494722,0.0029845505617977527,0,0,2137,9.469696969696944e-05
baseline,2002,225,1.0,0.0,0.0,0,0,6337,0.0
baseline,2003,217,1.0,0.0,0.0,0,0,10382,0.0
baseline,2004,207,1.0,0.0,0.0,0,0,13064,0.0
baseline,2005,196,1.0,0.0,0.0,0,0,11367,0.0
baseline,2006,0,0.40817819066584626,0.005237931319103831,0.47547276690393875,0,0,1558,-0.4702348355848349
baseline,2007,209,1.0,0.0,0.0,0,0,10909,0.0
