harsh_amp,seed,frac_fear,n
0.0,7000,0.4843407627070501,35
0.0,7001,0.16728347799085996,43
0.0,7002,0.04985844260604034,84
0.0,7003,0.18756406656309668,72
0.0,7004,0.22252984442359028,51
0.0,7005,0.13459204549200038,78
0.4,7000,0.17269641921811624,88
0.4,7001,0.22755424930204876,71
0.4,7002,0.09772717566650843,55
0.4,7003,0.06630510086908109,83
0.4,7004,0.04878977282563734,90
0.4,7005,0.10466143361026563,87
0.7,7000,0.22084815630324972,41
0.7,7001,0.7802657034323702,24
0.7,7002,0.9691832858499525,22
0.7,7003,0.03174425658702353,68
0.7,7004,0.9091014492753623,29
0.7,7005,0.7494144667592944,26
1.0,7000,0.03584052300475369,75
1.0,7001,0.9544061302681992,25
1.0,7002,0.939974358974359,25
1.0,7003,0.09791188476854334,70
1.0,7004,0.015582581474464719,88
1.0,7005,0.1655881689502379,58
