lam,frac_L1_mean,frac_L1_std,pop_mean,extinct,n
0.0,0.4708,0.4378,103.88,0,8
0.25,0.2095,0.3135,122.50,0,8
0.5,0.0689,0.1240,100.50,0,8
1.0,0.0102,0.0050,119.38,0,8
